experience_level,job_title,remote_ratio,company_size,adjusted_salary
MI,ML Engineer,Remote,S,30000.0
MI,ML Engineer,Remote,S,25500.0
SE,Applied Scientist,In office,L,222200.0
SE,Applied Scientist,In office,L,136000.0
SE,Data Scientist,In office,M,147100.0
SE,Data Scientist,In office,M,90700.0
SE,Data Analyst,Remote,M,130000.0
SE,Data Analyst,Remote,M,100000.0
EN,Applied Scientist,In office,L,213660.0
EN,Applied Scientist,In office,L,130760.0
SE,Data Modeler,In office,M,147100.0
SE,Data Modeler,In office,M,90700.0
SE,Data Scientist,In office,M,170000.0
SE,Data Scientist,In office,M,150000.0
MI,Data Analyst,Remote,M,150000.0
MI,Data Analyst,Remote,M,110000.0
SE,Business Intelligence Engineer,In office,M,225000.0
SE,Business Intelligence Engineer,In office,M,156400.0
SE,Machine Learning Engineer,In office,M,200000.0
SE,Machine Learning Engineer,In office,M,130000.0
SE,Data Engineer,In office,M,253200.0
SE,Data Engineer,In office,M,90700.0
SE,Computer Vision Engineer,In office,M,342810.0
SE,Computer Vision Engineer,In office,M,184590.0
MI,Data Engineer,In office,M,162500.0
MI,Data Engineer,In office,M,130000.0
MI,Data Analyst,In office,M,105380.0
MI,Data Analyst,In office,M,64500.0
EN,Applied Scientist,In office,L,204620.0
EN,Applied Scientist,In office,L,110680.0
SE,Data Engineer,In office,M,270703.0
SE,Data Engineer,In office,M,221484.0
SE,Data Scientist,Remote,M,212750.0
SE,Data Scientist,Remote,M,185000.0
SE,Data Scientist,Remote,M,262000.0
SE,Data Scientist,Remote,M,245000.0
SE,Data Scientist,Remote,M,275300.0
SE,Data Scientist,Remote,M,183500.0
SE,Data Scientist,Remote,M,218500.0
SE,Data Scientist,Remote,M,199098.0
SE,Data Engineer,Remote,M,203300.0
SE,Data Engineer,Remote,M,123600.0
SE,Research Engineer,In office,M,189110.0
SE,Research Engineer,In office,M,139000.0
EX,Data Scientist,In office,M,258750.0
EX,Data Scientist,In office,M,185000.0
SE,Data Engineer,Remote,M,231500.0
SE,Data Engineer,Remote,M,166000.0
SE,Data Scientist,Remote,M,172500.0
SE,Data Scientist,Remote,M,110500.0
SE,Data Engineer,In office,M,238000.0
SE,Data Engineer,In office,M,176000.0
SE,Data Engineer,Remote,M,237000.0
SE,Data Engineer,Remote,M,201450.0
SE,Applied Scientist,In office,L,309400.0
SE,Applied Scientist,In office,L,159100.0
SE,Data Engineer,In office,M,115000.0
SE,Data Engineer,In office,M,81500.0
SE,Data Scientist,Remote,M,237000.0
SE,Data Scientist,Remote,M,201450.0
SE,Computer Vision Engineer,In office,M,280000.0
SE,Computer Vision Engineer,In office,M,210000.0
SE,Data Architect,Remote,M,280100.0
SE,Data Architect,Remote,M,168100.0
SE,Data Engineer,Remote,M,193500.0
SE,Data Engineer,Remote,M,139000.0
SE,Business Intelligence Engineer,In office,M,185900.0
SE,Business Intelligence Engineer,In office,M,129300.0
SE,Data Engineer,Remote,M,225000.0
SE,Data Engineer,Remote,M,175000.0
SE,Data Engineer,In office,M,185000.0
SE,Data Engineer,In office,M,140000.0
SE,Data Scientist,In office,M,105000.0
SE,Data Scientist,In office,M,70000.0
EN,Machine Learning Engineer,In office,M,163196.0
EN,Machine Learning Engineer,In office,M,145885.0
SE,Data Engineer,Remote,M,217000.0
SE,Data Engineer,Remote,M,185000.0
SE,Data Analyst,In office,L,202800.0
SE,Data Analyst,In office,L,104300.0
SE,Data Analyst,In office,M,145000.0
SE,Data Analyst,In office,M,65000.0
SE,Data Engineer,In office,M,165000.0
SE,Data Engineer,In office,M,132300.0
SE,Data Engineer,In office,M,179170.0
SE,Data Engineer,In office,M,94300.0
SE,Analytics Engineer,In office,M,152500.0
SE,Analytics Engineer,In office,M,116450.0
SE,Data Engineer,In office,M,247300.0
SE,Data Engineer,In office,M,133800.0
SE,Research Engineer,In office,M,203000.0
SE,Research Engineer,In office,M,133000.0
EN,Research Scientist,Hybrid,L,220000.0
SE,Data Scientist,In office,M,150000.0
SE,Data Scientist,In office,M,120000.0
SE,Analytics Engineer,In office,M,289800.0
SE,Analytics Engineer,In office,M,214000.0
SE,Analytics Engineer,In office,M,179820.0
SE,Analytics Engineer,In office,M,143860.0
SE,Machine Learning Engineer,Remote,M,283200.0
SE,Machine Learning Engineer,Remote,M,188800.0
SE,Analytics Engineer,In office,M,289800.0
